#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-03-03T00:49:17 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-03-03T00:49:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/587/A160/tablea1&-out=Galaxy,Dist,hz,e_hz1,e_hz2&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35870160
#Name: J/A+A/587/A160
#Title: 3.6um S4G Galactic bars characterization (Diaz-Garcia+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/587/a160	    IVOID of underlying data collection
#INFO	creator=Diaz-Garcia S.	    First author or institution
#INFO	cites=bibcode:2016A&A...587A.160D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/587/A160	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35870160	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_587_A160_tablea1:
#Name: J/A+A/587/A160/tablea1
#Title: Fundamental properties of S4G galaxies: distance, mass distribution, velocities and stellar disk
#Column	Galaxy	(a10)	Galaxy identification	[ucd=meta.id;src.class.starGalaxy;meta.main]
#Column	Dist	(F7.3)	Distance to the galaxy	[ucd=pos.distance]
#Column	hz	(F6.3)	Disk scale-height	[ucd=phys.angSize;src]
#Column	e_hz1	(F7.3)	[] Uncertainty on the disk scale-height associated with a thicker disk in de Grijs/Speltincx relation	[ucd=stat.error]
#Column	e_hz2	(F7.3)	[] Uncertainty on the disk scale-height associated with a thinner disk in de Grijs/Speltincx relation	[ucd=stat.error]
Galaxy	Dist	hz	e_hz1	e_hz2
ESO347-008	  1.000	 2.524	  2.524	 -1.262
ESO347-017	  8.200	 1.904	  1.523	 -0.476
ESO355-026	 31.537	 2.780	  1.853	 -0.794
ESO357-012	 22.591	 4.015	  3.212	 -1.004
ESO358-005	 22.597	 1.553	  1.242	 -0.388
ESO358-015	 16.100	 2.133	  2.133	 -1.067
ESO358-020	 24.361	 1.389	  1.111	 -0.347
ESO358-025	 18.614	 2.590	  2.590	 -1.295
ESO358-051	 15.700	 1.037	  0.829	 -0.259
ESO358-054	 16.900	 2.217	  1.774	 -0.554
ESO359-022	 19.847	 0.659	  0.527	 -0.165
ESO359-031	 20.625	 1.014	  0.811	 -0.254
ESO362-009	 10.200	 4.898	  3.919	 -1.225
ESO400-025	 30.194	 2.092	  1.673	 -0.523
ESO402-030	 37.542	 1.808	  5.424	 -0.362
ESO403-024	 36.361	 1.319	  1.055	 -0.330
ESO403-031	 31.000	 1.424	  1.139	 -0.356
ESO404-003	 32.986	 1.303	  1.042	 -0.326
ESO404-012	 36.440	 2.929	  1.952	 -0.837
ESO406-042	 19.650	 2.327	  1.862	 -0.582
ESO407-014	 40.445	 1.559	  1.039	 -0.445
ESO407-018	  1.987	 3.003	  2.403	 -0.751
ESO408-012	 56.600	 1.473	  1.178	 -0.368
ESO409-015	 10.222	 1.017	  0.813	 -0.254
ESO410-018	 19.000	 1.999	  1.599	 -0.500
ESO411-026	 22.347	 1.158	  0.926	 -0.290
ESO418-008	 20.733	 1.165	  0.932	 -0.291
ESO418-009	 18.000	 1.502	  1.202	 -0.375
ESO419-013	 20.639	 2.443	  7.329	 -0.489
ESO420-009	 19.014	 1.228	  0.983	 -0.307
ESO421-019	 17.000	 3.015	  2.412	 -0.754
ESO422-005	 26.286	 1.352	  1.082	 -0.338
ESO422-041	 10.800	 2.632	  2.105	 -0.658
ESO438-017	 17.083	 2.189	  1.751	 -0.547
ESO440-011	 27.600	 2.972	  2.378	 -0.743
ESO440-044	 11.400	 2.059	  1.647	 -0.515
ESO440-046	 15.433	 2.430	  1.944	 -0.607
ESO440-049	 31.444	 1.924	  1.539	 -0.481
ESO441-017	 34.900	 1.021	  0.817	 -0.255
ESO443-069	 34.800	 2.208	  1.766	 -0.552
ESO443-080	 36.814	 2.606	  2.606	 -1.303
ESO443-085	 23.100	 1.747	  1.398	 -0.437
ESO444-037	 34.800	 4.000	  4.000	 -2.000
ESO444-078	  5.275	 2.780	  2.780	 -1.390
ESO445-089	 36.300	 2.379	  1.903	 -0.595
ESO479-004	 19.400	 2.066	  1.653	 -0.517
ESO480-020	 20.069	 2.754	  2.754	 -1.377
ESO480-025	 23.931	 1.832	  1.466	 -0.458
ESO482-013	 25.583	 1.530	  1.530	 -0.765
ESO482-035	 27.340	 3.609	  2.406	 -1.031
ESO483-008	 20.750	 0.884	  0.707	 -0.221
ESO485-021	 16.000	 3.456	  2.764	 -0.864
ESO501-079	 18.950	 2.506	  2.506	 -1.253
ESO502-020	 19.153	 1.216	  0.973	 -0.304
ESO502-023	 20.333	 2.099	  2.099	 -1.050
ESO503-022	 23.220	 1.511	  1.209	 -0.378
ESO504-024	 26.306	 1.218	  0.974	 -0.304
ESO504-028	 28.153	 1.623	  1.298	 -0.406
ESO505-002	 23.708	 1.853	  1.482	 -0.463
ESO505-013	 25.700	 4.375	  3.500	 -1.094
ESO506-029	 41.333	 2.825	  2.260	 -0.706
ESO507-065	 35.597	 1.508	  1.207	 -0.377
ESO508-007	 32.660	 1.783	  1.427	 -0.446
ESO508-015	 40.100	 2.036	  1.629	 -0.509
ESO508-024	 40.000	 4.638	  3.092	 -1.325
ESO508-034	 30.600	 2.748	  2.748	 -1.374
ESO508-051	 27.807	 1.809	  1.448	 -0.452
ESO509-026	 27.100	 2.188	  2.188	 -1.094
ESO510-026	 32.861	 2.089	  2.089	 -1.045
ESO510-058	 32.139	 1.095	  0.876	 -0.274
ESO510-059	 33.600	 3.040	  2.432	 -0.760
ESO532-014	 21.400	 1.319	  1.055	 -0.330
ESO532-022	 30.380	 1.882	  1.506	 -0.471
ESO533-028	 35.806	 1.453	  0.969	 -0.415
ESO539-007	 25.600	 2.512	  2.512	 -1.256
ESO541-004	 32.527	 4.944	  3.296	 -1.413
ESO541-005	 27.194	 1.834	  1.467	 -0.458
ESO544-030	 16.117	 2.492	  1.994	 -0.623
ESO545-002	 21.383	 2.157	  1.726	 -0.539
ESO545-016	 18.400	 2.084	  1.667	 -0.521
ESO546-034	 21.750	 1.502	  1.202	 -0.375
ESO547-005	 22.111	 1.362	  1.089	 -0.340
ESO547-020	 27.694	 1.712	  1.370	 -0.428
ESO548-005	 21.900	 1.799	  1.440	 -0.450
ESO548-016	 29.431	 2.512	  2.512	 -1.256
ESO548-025	 23.333	 1.710	  1.368	 -0.427
ESO548-032	 33.333	 2.294	  1.835	 -0.573
ESO548-082	 23.944	 1.180	  0.944	 -0.295
ESO549-002	 15.444	 1.085	  0.868	 -0.271
ESO549-018	 31.044	 2.740	  2.192	 -0.685
ESO549-035	 25.306	 1.047	  0.838	 -0.262
ESO570-019	 18.597	 2.703	  8.110	 -0.541
ESO572-018	 25.656	 2.536	  1.690	 -0.724
ESO572-030	 21.633	 3.152	  2.522	 -0.788
ESO572-034	 15.472	 1.092	  0.873	 -0.273
ESO573-003	 24.000	 2.461	  2.461	 -1.230
ESO576-001	 85.600	 2.059	  6.178	 -0.412
ESO576-017	 38.583	 1.651	  1.321	 -0.413
ESO576-032	 29.100	 2.357	  1.885	 -0.589
ESO576-050	 24.688	 2.743	  2.195	 -0.686
ESO576-059	 22.700	 3.453	  2.763	 -0.863
ESO580-022	 30.889	 2.107	  1.686	 -0.527
ESO580-030	 36.847	 1.455	  1.164	 -0.364
ESO582-004	 30.817	 2.506	  7.518	 -0.501
ESO601-031	 36.111	 1.488	  1.191	 -0.372
ESO602-030	 32.222	 1.030	  0.824	 -0.257
ESO603-031	 31.472	 1.097	  0.878	 -0.274
IC0051    	 23.764	 2.450	  2.450	 -1.225
IC0101    	 44.400	 2.369	  7.107	 -0.474
IC0163    	 29.211	 1.768	  1.415	 -0.442
IC0167    	 27.683	 2.000	  2.000	 -1.000
IC0223    	 18.800	 1.551	  1.241	 -0.388
IC0529    	 33.665	 2.954	  2.363	 -0.738
IC0600    	 20.300	 2.988	  2.391	 -0.747
IC0718    	 27.542	 1.354	  1.083	 -0.339
IC0749    	 34.480	 2.262	  1.809	 -0.565
IC0750    	 23.512	 3.286	  9.858	 -0.657
IC0758    	 26.700	 2.091	  1.673	 -0.523
IC0769    	 42.611	 3.622	  2.415	 -1.035
IC0776    	 29.725	 1.957	  1.565	 -0.489
IC0796    	 21.597	 2.169	  6.508	 -0.434
IC0797    	 18.200	 1.560	  1.248	 -0.390
IC0800    	 68.600	 1.804	  1.443	 -0.451
IC0851    	 36.306	 1.040	  0.832	 -0.260
IC0863    	 34.986	 1.303	  0.869	 -0.372
IC1014    	 24.200	 2.208	  1.766	 -0.552
IC1024    	 20.208	 0.942	  0.754	 -0.236
IC1066    	 32.375	 1.671	  1.114	 -0.477
IC1067    	 21.917	 3.275	  2.183	 -0.936
IC1125    	 35.150	 1.165	  0.932	 -0.291
IC1158    	 35.300	 2.381	  1.904	 -0.595
IC1210    	 50.675	 3.068	  9.204	 -0.614
IC1251    	 16.208	 1.433	  1.146	 -0.358
IC1265    	 30.083	 2.405	  7.215	 -0.481
IC1438    	 33.800	 6.210	 18.630	 -1.242
IC1447    	 48.300	 2.573	  1.715	 -0.735
IC1555    	 23.080	 1.416	  1.133	 -0.354
IC1558    	 13.672	 3.986	  3.189	 -0.997
IC1826    	 36.160	 1.842	  1.474	 -0.461
IC1870    	 17.800	 3.452	  2.761	 -0.863
IC1892    	 35.200	 1.903	  1.522	 -0.476
IC1914    	 18.137	 3.630	  2.904	 -0.908
IC1933    	 20.091	 1.861	  1.489	 -0.465
IC1953    	 24.640	 3.566	  2.853	 -0.891
IC1954    	 15.287	 2.569	  2.055	 -0.642
IC1986    	 17.800	 1.527	  1.222	 -0.382
IC1993    	 14.972	 3.798	  2.532	 -1.085
IC2007    	 22.500	 1.104	  0.883	 -0.276
IC2032    	 13.400	 1.614	  1.292	 -0.404
IC2035    	 16.500	 1.334	  4.003	 -0.267
IC2040    	 18.417	 3.279	  9.836	 -0.656
IC2051    	 23.890	 4.377	  2.918	 -1.251
IC2056    	 20.500	 2.343	  1.562	 -0.670
IC2604    	 22.694	 1.137	  0.910	 -0.284
IC2627    	 18.480	 3.538	  2.359	 -1.011
IC2764    	 21.677	 4.050	  4.050	 -2.025
IC2828    	 14.431	 0.558	  0.446	 -0.140
IC2969    	 27.500	 1.139	  0.911	 -0.285
IC3021    	 35.097	 3.016	  9.047	 -0.603
IC3023    	 11.403	 1.369	  1.095	 -0.342
IC3033    	 18.300	 2.404	  7.212	 -0.481
IC3059    	  3.625	 3.293	  2.634	 -0.823
IC3102    	 28.850	 5.085	 15.255	 -1.017
IC3115    	 19.333	 2.357	  1.886	 -0.589
IC3155    	 31.833	 2.130	  2.130	 -1.065
IC3258    	 14.800	 2.132	  1.706	 -0.533
IC3259    	 21.250	 1.762	  1.409	 -0.440
IC3267    	 17.097	 3.678	 11.035	 -0.736
IC3268    	 21.800	 2.221	  1.777	 -0.555
IC3356    	 17.700	 1.916	  1.533	 -0.479
IC3391    	 30.233	 1.746	  1.397	 -0.436
IC3392    	 16.117	 3.158	  2.106	 -0.902
IC3476    	 13.450	 2.105	  1.684	 -0.526
IC3517    	 23.267	 1.561	  1.249	 -0.390
IC3521    	 16.700	 1.812	  1.450	 -0.453
IC3522    	 16.800	 1.943	  1.554	 -0.486
IC3576    	 16.800	 2.172	  1.738	 -0.543
IC3583    	 14.200	 2.331	  1.865	 -0.583
IC3611    	 38.028	 1.830	  1.830	 -0.915
IC3687    	  4.160	 3.027	  2.421	 -0.757
IC3727    	 30.972	 1.656	  1.325	 -0.414
IC3908    	 20.975	 6.040	  6.040	 -3.020
IC4182    	  4.272	 7.360	  5.888	 -1.840
IC4214    	 27.300	 6.964	 20.893	 -1.393
IC4221    	 37.500	 1.295	  1.036	 -0.324
IC4237    	 40.073	 3.314	  2.210	 -0.947
IC4247    	  5.040	 1.562	  1.249	 -0.390
IC4407    	 37.861	 1.644	  1.315	 -0.411
IC4536    	 33.400	 2.172	  1.738	 -0.543
IC4901    	 23.680	 4.588	  3.670	 -1.147
IC5007    	 34.043	 1.594	  1.276	 -0.399
IC5069    	 39.181	 2.253	  1.502	 -0.644
IC5152    	  1.756	 8.664	 25.993	 -1.733
IC5240    	 25.360	 6.024	 18.073	 -1.205
IC5267    	 26.080	16.779	 50.336	 -3.356
IC5269    	 26.150	 3.255	  9.765	 -0.651
IC5269A   	 37.833	 1.693	  1.354	 -0.423
IC5269C   	 24.944	 2.595	  2.076	 -0.649
IC5273    	 16.557	 2.428	  1.943	 -0.607
IC5321    	 41.867	 1.599	  1.279	 -0.400
IC5325    	 18.100	 3.776	  2.517	 -1.079
IC5332    	  8.400	 7.212	  5.769	 -1.803
NGC0014   	 12.800	 4.145	  3.316	 -1.036
NGC0045   	  9.313	11.667	  9.333	 -2.917
NGC0063   	 18.800	 2.514	  7.542	 -0.503
NGC0150   	 21.038	 4.636	  3.091	 -1.325
NGC0157   	 19.500	 5.865	  3.910	 -1.676
NGC0178   	 18.400	 3.360	  3.360	 -1.680
NGC0210   	 20.983	10.284	  6.856	 -2.938
NGC0244   	 11.600	 1.800	  1.800	 -0.900
NGC0254   	 17.100	 6.024	 18.071	 -1.205
NGC0255   	 20.000	 1.661	  1.329	 -0.415
NGC0274   	 20.325	 3.400	  3.400	 -1.700
NGC0275   	 21.900	 3.500	  3.500	 -1.750
NGC0289   	 22.767	 3.711	  2.474	 -1.060
NGC0298   	 24.389	 1.079	  0.863	 -0.270
NGC0300   	  1.972	16.624	 13.299	 -4.156
NGC0337   	 22.129	 2.164	  1.731	 -0.541
NGC0337A  	 13.700	 4.622	  3.698	 -1.156
NGC0406   	 20.612	 2.412	  1.929	 -0.603
NGC0428   	 14.660	 2.797	  2.238	 -0.699
NGC0450   	 20.050	 2.837	  2.269	 -0.709
NGC0470   	 38.867	 3.931	  2.620	 -1.123
NGC0473   	 29.800	 3.131	  9.394	 -0.626
NGC0474   	 30.880	 4.610	  4.610	 -2.305
NGC0488   	 29.300	 8.542	 25.625	 -1.708
NGC0514   	 29.420	 3.035	  2.428	 -0.759
NGC0578   	 21.841	 3.810	  3.048	 -0.952
NGC0584   	 19.930	 8.820	  8.820	 -4.410
NGC0600   	 22.900	 2.355	  1.884	 -0.589
NGC0613   	 25.125	 8.280	  5.520	 -2.366
NGC0628   	  9.078	 7.550	  6.040	 -1.887
NGC0658   	 38.833	 4.514	  3.009	 -1.290
NGC0672   	  8.000	 5.350	  4.280	 -1.338
NGC0680   	 34.850	 1.990	  1.990	 -0.995
NGC0685   	 15.200	 4.001	  3.201	 -1.000
NGC0691   	 36.922	 5.425	  3.616	 -1.550
NGC0701   	 22.711	 1.617	  1.293	 -0.404
NGC0718   	 21.400	 5.698	 17.094	 -1.140
NGC0723   	 20.639	 1.182	  0.788	 -0.338
NGC0772   	 30.305	 9.000	  6.000	 -2.572
NGC0855   	  9.730	 5.666	 16.999	 -1.133
NGC0864   	 18.767	 6.661	  4.441	 -1.903
NGC0895   	 29.637	 2.965	  2.372	 -0.741
NGC0899   	 18.500	 1.173	  0.939	 -0.293
NGC0908   	 17.615	 6.861	  4.574	 -1.960
NGC0918   	 18.131	 3.376	  2.701	 -0.844
NGC0936   	 20.683	10.136	 30.409	 -2.027
NGC0941   	 27.340	 2.133	  1.707	 -0.533
NGC0986   	 17.150	 5.787	  3.858	 -1.654
NGC0991   	 18.800	 2.549	  2.039	 -0.637
NGC1015   	 33.100	 5.654	 16.961	 -1.131
NGC1022   	 18.500	 5.106	 15.317	 -1.021
NGC1036   	 11.200	 1.291	  1.033	 -0.323
NGC1042   	  9.431	 4.880	  3.904	 -1.220
NGC1047   	 18.611	 2.720	  2.720	 -1.360
NGC1051   	 15.900	 1.897	  1.518	 -0.474
NGC1068   	 13.500	 9.500	  9.500	 -4.750
NGC1073   	 15.200	 5.364	  4.292	 -1.341
NGC1076   	 29.194	 3.230	  3.230	 -1.615
NGC1079   	 26.050	 5.711	 17.133	 -1.142
NGC1084   	 21.225	 2.066	  1.653	 -0.517
NGC1087   	 17.512	 2.806	  2.244	 -0.701
NGC1090   	 32.324	 4.906	  3.270	 -1.402
NGC1097   	 20.038	16.466	 10.977	 -4.705
NGC1140   	 18.950	 4.299	 12.897	 -0.860
NGC1179   	 18.171	 4.397	  3.518	 -1.099
NGC1187   	 18.829	 6.455	  4.304	 -1.844
NGC1222   	 31.000	 4.598	 13.793	 -0.920
NGC1232   	 18.667	 5.471	  4.376	 -1.368
NGC1255   	 21.506	 3.637	  2.910	 -0.909
NGC1258   	 25.760	 3.217	  9.652	 -0.643
NGC1291   	  8.600	33.424	100.272	 -6.685
NGC1292   	 21.475	 2.208	  1.766	 -0.552
NGC1297   	 23.450	 4.992	 14.977	 -0.998
NGC1299   	 32.417	 1.454	  0.969	 -0.415
NGC1300   	 18.050	11.692	  7.795	 -3.341
NGC1302   	 20.000	 9.324	 27.972	 -1.865
NGC1306   	 30.550	 0.663	  0.530	 -0.166
NGC1309   	 28.025	 2.573	  1.715	 -0.735
NGC1310   	 21.960	 1.681	  1.345	 -0.420
NGC1313   	  3.951	 9.027	  7.221	 -2.257
NGC1316C  	 16.900	 2.689	  8.067	 -0.538
NGC1325A  	 17.700	 3.583	  2.388	 -1.024
NGC1326   	 16.983	 9.591	 28.773	 -1.918
NGC1326A  	 16.894	 2.157	  1.726	 -0.539
NGC1332   	 19.625	10.750	 10.750	 -5.375
NGC1338   	 34.722	 1.089	  0.871	 -0.272
NGC1341   	 16.900	 1.173	  0.938	 -0.293
NGC1345   	 18.100	 1.253	  1.002	 -0.313
NGC1347   	 24.431	 1.302	  1.042	 -0.326
NGC1350   	 20.938	12.810	 38.431	 -2.562
NGC1357   	 24.700	 9.371	 28.114	 -1.874
NGC1359   	 33.771	 2.590	  2.590	 -1.295
NGC1365   	 17.926	18.887	 12.591	 -5.396
NGC1366   	 18.120	 4.660	  4.660	 -2.330
NGC1367   	 23.250	 8.518	 25.555	 -1.704
NGC1385   	 14.950	 3.042	  2.433	 -0.760
NGC1389   	 17.685	 4.948	 14.844	 -0.990
NGC1390   	 16.764	 1.428	  4.283	 -0.286
NGC1398   	 21.033	13.663	 40.990	 -2.733
NGC1411   	 15.500	 3.981	 11.943	 -0.796
NGC1425   	 21.261	 7.768	  5.179	 -2.220
NGC1427A  	 16.400	 4.529	  4.529	 -2.265
NGC1433   	  9.960	15.595	 46.785	 -3.119
NGC1436   	 18.360	 6.229	  4.153	 -1.780
NGC1438   	 28.860	 4.234	 12.702	 -0.847
NGC1452   	 22.800	 6.926	 20.777	 -1.385
NGC1473   	 18.017	 1.482	  1.186	 -0.371
NGC1482   	 19.600	 4.225	 12.676	 -0.845
NGC1483   	 20.720	 1.511	  1.209	 -0.378
NGC1493   	 11.300	 3.067	  2.454	 -0.767
NGC1494   	 15.217	 3.228	  2.582	 -0.807
NGC1510   	 11.000	 2.710	  8.130	 -0.542
NGC1512   	 12.286	11.413	 34.238	 -2.283
NGC1533   	 18.380	 5.988	 17.965	 -1.198
NGC1546   	 13.400	 7.762	  5.174	 -2.218
NGC1553   	 15.082	15.468	 46.405	 -3.094
NGC1556   	 18.690	 1.023	  0.818	 -0.256
NGC1559   	 15.681	 2.568	  2.054	 -0.642
NGC1566   	 12.234	11.330	 11.330	 -5.665
NGC1602   	 21.778	 2.014	  1.612	 -0.504
NGC1637   	 10.703	 6.305	  4.203	 -1.801
NGC1640   	 19.100	 4.887	 14.661	 -0.977
NGC1672   	 14.500	11.701	  7.800	 -3.343
NGC1679   	 12.729	 2.693	  2.155	 -0.673
NGC1688   	 15.450	 2.811	  2.249	 -0.703
NGC1703   	 17.400	 2.200	  1.760	 -0.550
NGC1792   	 13.200	 3.347	  2.677	 -0.837
NGC1800   	  7.400	 1.667	  1.333	 -0.417
NGC1808   	 11.550	13.110	 13.110	 -6.555
NGC1879   	 21.050	 2.508	  2.006	 -0.627
NGC2104   	 14.125	 1.651	  1.321	 -0.413
NGC2460   	 31.900	 5.831	 17.493	 -1.166
NGC2500   	 10.100	 3.358	  2.686	 -0.839
NGC2537   	  7.940	 2.532	  2.026	 -0.633
NGC2541   	 12.354	 4.662	  3.730	 -1.166
NGC2543   	 33.640	 4.397	  2.932	 -1.256
NGC2550   	 36.700	 1.660	  1.107	 -0.474
NGC2551   	 34.100	 3.508	 10.523	 -0.702
NGC2552   	 11.867	 3.863	  3.091	 -0.966
NGC2604   	 30.634	 4.090	  4.090	 -2.045
NGC2608   	 26.512	 3.793	  2.529	 -1.084
NGC2633   	 29.386	 4.155	  2.770	 -1.187
NGC2655   	 24.400	 8.035	 24.104	 -1.607
NGC2681   	 15.250	 7.165	 21.496	 -1.433
NGC2684   	 39.722	 1.807	  1.205	 -0.516
NGC2685   	 13.475	 6.550	 19.650	 -1.310
NGC2701   	 40.831	 3.057	  2.038	 -0.873
NGC2710   	 50.400	 3.099	  2.066	 -0.885
NGC2712   	 31.167	 3.971	  2.647	 -1.134
NGC2731   	 41.000	 0.773	  0.618	 -0.193
NGC2742   	 23.800	 2.716	  2.173	 -0.679
NGC2743   	 41.625	 1.203	  0.962	 -0.301
NGC2750   	 38.400	 4.666	  3.110	 -1.333
NGC2775   	 17.000	 9.720	  9.720	 -4.860
NGC2776   	 27.560	 1.595	  1.276	 -0.399
NGC2780   	 55.550	 2.396	  7.188	 -0.479
NGC2782   	 23.380	 4.460	  4.460	 -2.230
NGC2787   	 10.240	 7.009	 21.028	 -1.402
NGC2793   	 26.300	 1.580	  1.580	 -0.790
NGC2798   	 25.660	 4.137	 12.410	 -0.827
NGC2805   	 27.820	 5.368	  4.295	 -1.342
NGC2841   	 16.778	13.838	 41.515	 -2.768
NGC2844   	 37.880	 4.254	 12.761	 -0.851
NGC2854   	 33.700	 3.160	  3.160	 -1.580
NGC2859   	 27.333	14.698	 44.095	 -2.940
NGC2882   	 37.933	 2.339	  1.559	 -0.668
NGC2893   	 26.800	 2.305	  6.914	 -0.461
NGC2894   	 42.300	 4.240	  4.240	 -2.120
NGC2903   	  9.058	10.857	  7.238	 -3.102
NGC2906   	 38.400	 2.341	  1.560	 -0.669
NGC2938   	 46.000	 1.547	  1.238	 -0.387
NGC2962   	 33.893	 6.845	 20.534	 -1.369
NGC2964   	 21.191	 3.505	  2.337	 -1.002
NGC2966   	 25.850	 5.080	 15.239	 -1.016
